,rating,title,text,average_rating,rating_number,year,month,day,hour
21,1,Stay far away,Do not buy this!! This hair is a synthetic blend at best nowhere close to 100% human hair. Burned using a flatiron and you could smell the plastic. Stay away from this seller at all cost,2.8,49,2020,9,29,17
22,1,Not for woman,These head bands were a little pricey and don't come close to being large enough for a womans head. Very disappointed!,4.3,2253,2022,6,23,10
23,1,Don’t buy these cheaply made and easily breakable pins,"cheap, each piece broke within a day of use.  I used to have similar pins that held my hard well.  These are garbage!",3.9,12,2020,11,7,5
24,1,"If they dont work for your lips ,as expected, you could color in a colorong book with them? I guess you get what you pay for ..","Took forever to arrive ,that was kind of expected ..but these pencils were almost hard enough to be coloring pencils to be used on paper ,not delicate skin ..like on LIPS !! Color did not stay on once applied ..I WILL NOT order these again ,",3.9,3331,2018,11,19,23
25,1,Impossible to use,I messed with these for an hour before giving up. The stupid lashes if you use the tool get stuck to the tool and pull off your eyelashes and if you don’t use the tool they clip together before it’s on all your eyelash,2.5,2368,2021,3,24,20
26,1,"Barbie Doll Hair - so fake looking, not of good quality.","Horrible. I have been ordering clip-in extensions for over 20 years and these are the absolute worst. The clips aren’t even covering the entire root of the hair so the part with no clip just pokes out. The hair STINKS and is ridiculously shinny, I’m not sure where the human hair is in it. The thickness is not thick at all and this was a very disappointing purchase. 1/5 stars. Hopefully it was a bad batch but it was baaaad. Oh, the color was way off too. Sad day. 😩",3.5,16,2019,5,25,3
27,1,Llegó completamente rota,[[VIDEOID:d0792e319d66422380a4d83bf54a1ad2]] Llegó completamente rota 😢😞,4.0,40,2021,7,7,3
28,1,Disappointed,"Was great the few times I wore it, but the leather broke where it was connected to the strap after only a few wears. Disappointing.",4.1,16,2020,4,18,23
29,1,These are trash.,"These magnetic lashes are terrible. The magnet “glue” is black, therefore you will have a ton of black eyeliner on your lids. The lashes don’t stick and the magnetic liner will stain your eyes for about a week. I used a makeup remover cream to get off the magnetic liner and still had black clumps falling off my lashes a week later. The lashes are cheap, I’m sure the liner is toxic, and you can totally tell that they look fake. I am only giving 1 star as I can’t rate this product any lower.",3.9,22,2020,10,1,21
30,1,A Clear Discription Is Needed,They should let you know the color your getting.  What is 280?  It should read black and grey.  That's what you get not brown or black.,2.2,2,2016,3,28,18
31,1,No matter what I do I always have flakes on ...,No matter what I do I always have flakes on my checks and can never wear sunglasses because it seems to melt right off my lashes.,3.4,54,2016,6,30,10
32,1,Junk,This product doesn't fit and continuously falls off. It really deserves zero stars for being totally useless.,2.6,18,2022,1,29,0
33,1,One Star,I do not like thes roller. They donot stay on the hair.,4.1,258,2014,7,19,3
34,1,NOPE.,"Brown lashes still have a SUPER THICK black lash line - completely ruining the point of natural colored lashes. Anyways … 5$ who cares I guess, but if you want natural, this isn’t it- or you could just wear a ton of eyeliner … again… ruining the entire point",3.9,77,2021,9,2,1
35,1,Magnets stick how they want to,Hard to put on !! Hated it,2.7,508,2019,2,28,3
36,1,Seemed like it was a nice product but it broke 1 week in,"I liked the way it felt when i ran it over my face, but its way too fragile.  The ""jade"" broke when I had it in my travel bag for one night.",3.2,13,2018,8,22,17
37,1,Magnetic eyeliner is dried up and empty when it came,My magnetic eyeliner is empty and dried up how am I supposed to wear my lashes??,3.6,1036,2021,7,30,15
38,1,HARD TO USE,"VERY HARD TO USE, SAYS PUT HAIR IN CURLER BUT IT DOES NOT WORK, SAID FOR SHORT HAIR, NO DICE, JUST NOT WHAT I EXPECTED, THANKS BUT NO THANKS!",3.8,395,2020,11,18,16
39,1,No staying power!,Beautiful colors...,3.4,24,2019,9,5,17
40,1,Did nothing,"The product came and I don't think it was the cream I ordered.  There was no seal on the container.  It made my face soft, but did nothing else.  A famous actress uses 111 skin, but I'm sure it's not the stuff I got.",3.9,3,2016,3,5,5
41,1,Product looks old,Did not get the shampoo and conditioner on the picture.  I received something different,4.5,574,2019,7,21,23
42,1,Incomplete box set,"I love beauty blenders. Their cleanser is also excellent. Unfortunately, I was sent a package that only had 1 out of 4 items described.",3.7,16,2018,3,20,18
43,1,don't waste your money,"This item does not work, don't waste your money. I have many scars and after using this product twice a day for more than a month, I did not see any improvement at all.",3.4,344,2016,1,18,15
44,1,Not terrible but,The clip is hard to hide and the color is… ehh….<br />I ended up cutting my own hair cus hiding the clip a hassle,2.9,69,2022,4,30,16
45,1,Horrible and cheap!,I trashed it I would never buy from this place again,3.2,3,2022,1,23,14
46,1,Break outs- beware,This product burned my skin and made me break out with pimples all over my face.,4.5,707,2019,4,16,16
47,1,Never again,Too thin they came on stick together hard get apart bad shipping,2.5,2368,2021,7,2,14
48,1,Opened it and it was completely dry.,Opened it up and it was completely dry. Very disappointed.,2.9,112,2020,4,21,2
49,1,Do not buy,It's a total rip off! It's 7 pieces of the thinnest hair. If it wasn't going to cost me I would return it. Do not buy a guarantee disappointment. This can't even add volume to your hair if that was what you were aspiring to accomplish. This product if bundled together couldn't make a good ponytail.,2.9,8,2020,6,3,21
50,1,Says its 70% and 30% DMSO and aloe.. ...,Says its 70% and 30% DMSO and aloe... in a cream base...  So you have no clue how much the ratio to cream base there is to the active ingredient.  Could be a drop of DMSO as the cream base dont seem that diluted.  Way over priced for the tiny tub you get.,4.4,2946,2016,12,13,20
51,1,One Star,Flimsy would not go through kids hair,3.8,168,2017,3,12,17
52,1,Doesn't really work,"I have a Staffy/Lab mix with shorter hair. I have tried this several times, and really doesn't seem like it is doing anything. I have switched to the Furminator type of brushes, which work very well.",4.1,380,2020,10,7,16
53,1,no llego,nunca llegó,4.5,273,2020,8,20,18
54,1,Stay away from this product,Very poor power. Stops with gentle press on the skin. I don't recommend at all!,4.0,115,2017,1,31,17
55,1,Not as advertised,Not as advertised,4.0,55,2019,6,2,23
56,1,Doesn't do what is claimed,Didn't do anything. Claims are absolutely false.,4.6,2247,2022,8,31,1
57,1,I Got Duped,"This product said it was 6.4 Oz. When I received it it was 4 Oz. I call that false advertising and I believe that's against the law, isn't it?",3.4,134,2017,1,7,1
58,1,Jar was opened when I got it,When the jar was delivered the seal under the lid had been opened and the jar was taped shut. I returned it immediately,4.1,72,2023,6,12,0
59,1,Do not buy!,Just tried using it after over a month buying it. The product is not working at all. The light button is not working and the the blue light bulb is not lighting. The water heater is not heating. Piece of trash! Cant even return it anymore.,3.7,29,2021,7,25,12
60,1,No Good,I do not recommend,3.1,10,2021,10,4,22
61,1,Do not buy,the drill don't not work. But lucky I had another drill. so I did use even thing that came with it.,2.8,44,2020,7,27,5
62,1,These suck!,"These cloths were bought for exfoliating;they wouldn’t help scratch a mild itch,let alone actually exfoliate!",4.7,9101,2020,2,4,3
63,1,One Star,Was looking forward to it and it was all shattered when it arrived,3.6,216,2018,4,12,12
64,1,Joke,"Love the concept, not the product, dried out after 2 days. Waste!",3.6,149,2019,2,5,16
65,1,Does not hold,"I’m a professional, used this product to try it and it does not hold.",3.7,14,2021,3,15,20
66,1,Not 42 inches,The hair is 21 inches not what I paid for,4.4,18,2021,9,8,17
67,1,"Horrible Lipstck, if you can call it that!","This has got to be the worst lipstick I has ever TRIED to use. When I say tried I mean this stuff doesn't go on in a nice fluid creamy way that most other lipsticks do. Oh No, this stuff actually goes on blotchy, leaves a mess on your lips. The color was awful, just image dark blotchy some color here some color there lips, if that's for you then I say go for it. That said I spend quite a bit on my makeup, I love MAC and am into IT and Tarte at the moment but this truly is the worst lipstick I have ever bought, what a waste of money!",3.2,2,2015,11,30,3
68,1,Poor description!,"I'm not sure if I received the wrong order twice, or the description and picture is that far off.  NO WHERE NEAR PLATINUM, and hair is synthetic.  VERY DISAPPOINTED!!!!",2.9,3,2022,2,16,22
69,1,Not worth that price,Way smaller than i expected and didn't really smell like the original,3.4,592,2020,3,31,11
70,1,Big lie,Don’t waste your money here!,3.5,155,2018,2,24,22
71,1,No not for me,To thin the color is regular plastic nails,1.0,1,2021,4,17,0
72,1,No good.,"This is very, very thin. Also, I ordered light brown and I got a black one. Not a good look!",2.3,6,2019,6,25,18
73,1,Too Expensive now-use your money to find something else,"Love this stuff! Nothing works better in the humid weather. Updated 3/6/18: This seller has priced it to be way too expensive now. Originally $4/bottle, too hard to find now so I’d rather spend my money and keep looking for a more reasonable alternative.",3.9,4,2016,12,2,0
74,1,That these br be more expensive to send back than I want to pay.,I could not use the brushes because they did not fit my electric toothbrush.,4.5,1483,2021,2,13,5
75,1,"Doesnt Stick, Bad Shape. Not Worth The Money",This is a crap product.<br />1: The dont stick to your face so that you can actually use the stencil to fill them in.<br />2: The shape is way off - they are way to thin.<br />3: I would not recommend.,3.5,172,2017,3,23,15
76,1,"This was the driest, hardest, most brittle hair I've EVER had.","I've oiled it. Conditioned it, and flat ironed it. I tried to trim it. I did everything I could thing of and it never looked better.",1.0,2,2021,12,14,14
77,1,Too big. Heats up so so much the tip ...,Too big.  Heats up so so much the tip which should be used for controlling while use it burns my finger.  It did ot serve any purpose I wanted it to.  Have since bought another which controls the heat and shuts off when left on for a long period of time. The button on the side of the curler was difficult to control and would often turn to off while I wa using it.,3.9,2731,2017,9,30,20
78,1,Keep looking...,"Fabric is slippery. The fit/size (length, stretch, and width) is completely different for all 4 headbands. (See picture- taken before I even tried them on). The length and stretch of elastic in each one is different. The longer black one was loose and others popped off my head from being too tight.  Waste of money.",4.0,206,2020,8,25,16
79,1,Waste of money!!,What a waste of money. Was such a small amount for $15!,4.3,57,2020,9,15,22
80,1,Do not buy if you want your eyelashes ripped off,"The glue is terrible would highly recommend getting magnetic lashes. The glue stuck my eyelashes together and wouldn’t come off with anything. I had to use vasaline, soap, water, makeup remover to get any of it off!",4.2,773,2021,5,6,6
81,1,Waste of money,They looked great in the package but fell apart easily and left cotton on everything they touched. Would not waste my money on these again.,4.6,2484,2021,4,20,14
82,1,"Real Review: Bad, bad bad but I dont know what I was expecting","I imagine these would work fine if you're missing all teeth or in dire need. They are very cheap plastic, look fake and I doubt you can eat in them.  I honestly stuck them in and took them right back out.  At least, it was not very expensive.  Makes sense.",1.5,87,2022,8,30,19
83,1,Not Worth It.,"We were not happy with the quality of this product.  Once the product was applied, it did not seem to protect as long as all the competitors we had used in the past.  Also, the texture feels weird.  It’s not as thick as other, which is probably why it’s not as great as a skin protector, but there is a clumpy feel to it.  You can feel these tiny small clumps that do rub in and dissipate, but it’s just a very odd feeling.  We will be going back to the other product we really liked probably sooner that later.",3.0,1,2020,3,4,9
84,1,SEVERELY IRRITATES THE EYES,DON'T BUY! The product drips down from the lash line and into the eyes. It's like applying lye on your eyeballs. Waste of money.,3.4,53,2018,3,22,2
85,1,Yucky,They are awful.  I had to spit it out & I eat anything.  The fruit ones are fabulous!,3.0,24,2018,4,15,6
86,1,A TOTAL WASTE!,"After carefully blending my essential oils, packaging them, labeling, shrink wrapping & pricing I discovered while demonstrating the product with a tester bottle that the ball falls out & spills half the ingredients all over you. I was so embarrassed & angry that Amazon would allow a product like this to be sold on their site.<br />The same thing happened with the blue & brown roll on bottles also. The only thing left for me to do is WARN my customers before they buy the product that the ball will probably fall out.<br />This also happened to the 2 ounce blue roll on bottles. I spilled half a bottle of very expensive oils using one of these bottles. I have now ordered the metal ball roll on bottles. I'll try them out & see if they work any better.",3.4,7,2015,9,4,1
87,1,Flat.  Not at all like advertised,I bought these to display on a shelf.  They are flat and ugly.  Not rounded as shown in multiple pictures.  Can you send me rounded ones or give me money back?,4.2,53,2021,10,25,15
88,1,Sample size … should not be sold,Product is a sample size. Usually handed out free. Charging $16 is ludicrous. Disappointed.,4.0,446,2021,10,26,12
89,1,Does nothing.,I do not se any differece at all.,2.5,10,2018,6,30,15
90,1,Not durable,All the pumps broke immediately 😢,3.8,50,2019,1,30,16
91,1,Nonono,Looked to tacky to wear lol,3.8,200,2021,2,23,18
92,1,Wrong scent/half empty!,I received the incorrect scent and it was half empty. There is a no return policy...DON'T WASTE YOUR MONEY LIKE I DID!,4.0,21,2019,6,22,23
93,1,Does not work at all waste of my money,"Does not work at all ,I feel very upset and taken for a ride",2.8,292,2019,8,11,14
94,1,Doesn't do anything,"I don't see how this would possibly work. The metal part is rounded and dull, it also doesn't move at all. So it's just a vibrating piece of metal. Not sure how this is supposed to do anything? These other reviews have to be fake?",3.9,7944,2021,7,7,22
95,1,One Star,Made no difference whatsoever,3.2,59,2015,11,3,18
96,1,NOT WORTH THE PRICE,It is suppose to be a root lifter and it did not lift anything. VERY DISAPPOINTED in produce.,4.5,605,2019,3,8,17
97,1,Won't stay on head,Wont stay on head,4.4,1783,2022,12,2,19
98,1,No cosmetics on line,Not what was advertised cheap,3.7,133,2019,5,18,22
99,1,Don't Waste your time and money,Horrible. The cars fall off a few days in,1.0,1,2015,3,18,13
100,1,thought it was a good idea,Initially the product was effective. However it has a metal spring that started rusting about 30 days after it was screwed onto the Listerine. it was pumping rust into my mouthwash so...not such a good product in the long run.,4.7,2578,2018,12,2,14
101,1,The first loofah fell apart after my first time using it. It completely unraveled!,"I liked the look of these and based on the reviews, I purchased them....big mistake! After using one it unraveled more than half of the material, then I tried another one a week later I had the same issue. One is still holding up, but I bought a 3pk and thought that they would last a few months. Don't waste your money, these are not of good quality.",4.2,172,2020,2,15,9
102,1,"A veteran trimmer says ""Not at all what I was hoping for""","I have had several trimmers over the years, and while I'm still using this after 9 months, it isn't what I was hoping for.  My biggest issues are as follows...  The beard setting that determines the length of the beard can shift unknowingly to a shorter length as the trimmer is pressed to the face.  Also this unit cannot trim the area of the mustache just beneath the nostrils - I still need to use scissors.  Finally, it is not easy to remove the beard length piece to perform a close trim right above the lip.  I would not recommend this and I am only leaving this review as I am on Amazon looking for a new one.",4.2,836,2009,12,14,12
103,1,Nasty Looking and Nasty Smelling,"The bottle looked like it had leaked when it arrived (photo 1).  I don't know if that damaged it, made it bad? I don't know.  However, the serum looked very thick and yellow (photos 2 and 3).  In addition, it smelled awful.  I can't tell you if it ""worked"" or not because it smelled so bad that I couldn't put it on my face.",2.7,26,2020,10,7,0
104,1,Do not buy!!,"This did not deposit color….instead, bleached my brows and lashes to a hideous orange/blond",2.5,11,2022,12,26,20
105,1,Plastic smell,Smells like plastic kids toys after added to the monomer... but it did smell good before adding it.,4.0,528,2022,12,16,22
106,1,If I can leave zero I would,"I was so excited for this Crown I was going to wear it at my wedding, since I'm wearing other Elven jewelry, but as soon as I try to adjust it on my head it snapped in half. Not happy at all my wedding is in 19 days now I have to try to find a quick backup",2.8,10,2019,2,21,2
107,1,Not as expected,The wefts are clearly sewn and visible the amount of hair is not as thick as these pictures show in advertising. Plus paying $20 in shipping then having to pay to return it still is insane. They also encrypt the label where some printers won't print it to try and make you pay more money and waste more time to get a label. Screen shot the label and print it. This product is not worth your money maybe I'm bouje but I've had wayyy better.,2.8,2,2022,3,4,15
108,1,Cracks breaks off your hair,It was fine for a few weeks the cracks appeared between the teeth and started pulling breaking off and pulling off hair.,4.5,357,2021,8,11,11
109,1,The mascara bottle was empty or product dried up, ,2.8,501,2021,10,16,15
110,1,One Star,Not much luck here,2.9,16,2018,6,8,2
111,1,Terrible product. I followed all instructions to a T,Terrible product. I followed all instructions to a T. The charging port was broken upon delivery. It wouldn't charge for more than 30 minutes at a time and consequently didn't work for longer than 1 minute. I'll never buy from here again.,3.2,173,2016,9,8,1
112,1,Too small for even a 7 month old,"It says these fit up to a 6 year old, they don’t even fit my 7 month olds normal size head.",4.0,8,2018,11,3,4
113,1,Disappointed,"My toenails have been turning white with polish on, and I had hoped that this product (along with a color from this same line) would allow me to enjoy color while avoiding that side effect.  It didn't.  By the next day there was new damage to the nail.  Even if not for that issue, I think the coverage on this particular color would be poor without several coats.  I had high hopes, but was disappointed.  There is also a no-return policy, so choose wisely as you will not be able to return the item!",4.5,1741,2017,4,23,21
114,1,Weld Too stiff,Most of my clients have flat-ish nail beds and these tips are not flexible.,3.8,26,2021,12,12,3
115,1,Not human hair.  IT IS TRASH. DO NOT BUY!,This is not human hair. It is mix fiber. Its dry trashy and super thin. Two bundles didnt even feel like 1 full bundle. It stinks and has split ends all over. Hair is not full. I need a full refund! Even did the burn test and its 100% plastic,3.3,71,2019,12,29,19
116,1,Does not fit the WaterPik Water Flosser,These don’t fit the WaterPik WaterFlosser. Water sprayed out the base.,4.5,81,2021,12,4,21
117,1,Warning! Hair has no grip! Packs are thin!,These braid packs don't come with very much hair. They are thin. I had to buy more hair from another source! I tried to braid with this hair. There is no grip and its puffy. This hair also tangles easily. Don't waste your time or money. I will not be purchasing again.,3.2,5,2020,12,18,9
118,1,I had higher expectations,"I've heard so much about skin owl products and was so excited to try some. This stuff made my SO ITCHY. I have very sensitive skin but usually body oils don't irritate my skin, so I'm not sure why this body oil did. Very unfortunate:/",3.4,8,2022,1,1,1
119,1,"I bought this November 2, 2017. For 6 ...","I bought this November 2, 2017.  For 6 months it worked okay.  Then it stopped working at all.  I contacted the intermediate seller, Top Tier Beauty, 8 days ago.  There has been no reply.  I would never buy this product or anything from Top Tier Beauty again.  And I'm inclined not to ever buy electrical appliances from Amazon either.",3.3,19,2018,7,13,19
120,1,Not worth it,Honestly it doesn't work. It just sucks up some oil on the top layer and leaves the black heads there.,3.2,25,2018,12,15,14
121,1,Not as good as color street,They didn’t even stay on a day. I was baking and I’m hoping they’re not in my cake 😬😷😬,3.3,49,2020,3,28,17
122,1,Not what was pictured,Beautiful brown color unfortunately my pencil did not have the brush on the opposite end. Very expensive for just a brown brow pencil. Wish I could return but I have used it,4.3,119,2018,7,23,1
123,1,The lime is smells like butt cheeks and leaves unpleasant smell,I didn’t like the smell. It’s smelled like what I was trying to prevent myself from smelling like while sweating (butt cheeks). It did wear down and I was odorless for a little while but I that hint of butt cheek smell was still lingering.  I didn’t like the smell that it left on me and the butty smell in between my thighs.,3.8,1792,2021,8,2,17
124,1,"Avoid, waste of money with poor service.",Avoid!!. Razor head broke off after 2 months of maybe 6 uses. I have been trying to reach the company for 2 weeks with no response. They advertise  coverage for 1 year with replacement. Wish I had believed the bad reviews I read. Don’t waste your money!,3.7,945,2020,9,23,22
125,1,"Expensive, does not inpress  me",Small and expensive,3.7,16,2023,6,19,22
126,1,One Star,Runs very small,2.3,4,2017,1,6,19
127,1,Fraudulent: Hair is not Human Hair Per Stylist!,"After 5 days my hair stylist saw it again and said the hair isn’t human: it is shedding and tangled and looks horrific. Basically, I bought hair that was listed as human but totally is a fraud and not human hair. Viewing other reviews now and everyone is saying its synthetic. It is false advertisement to call it human hair. Amazon is allowing this seller to continue misleading customers.",1.0,1,2023,2,28,19
128,1,Product thickens and begins to peel,This product goes on good but thickens immediately and within 5 minutes begins to peel in pieces.,4.1,104,2021,10,21,12
129,1,Won't turn off,"The toggle fell out of my Oster. Bought this replacement.. Not too hard to replace the old one. Put it back together, plugged it in, and it immediately turned on. Flipped the switch the other direction, and it wouldn't turn off. Opened it, checked everything. Guess you really do get what you paid for.",4.5,931,2022,7,30,1
130,1,Old lady smell,Extremely scented 😡,4.1,82,2019,4,9,20
131,1,Don’t buy this!  Doesn’t work as intended,Doesn’t work!  Hard to use.,2.6,29,2020,6,2,21
132,1,Poor quality,"This came delivered to me in pieces, for me to assemble.  Not worth it.",1.0,1,2020,1,20,21
133,1,One Star,"Save your money, this product is a joke-bordering on a scam.",4.0,4241,2015,3,6,4
134,1,would not buy again,peeled off the next day,4.2,11,2021,5,22,4
135,1,One Star,My cats are terrified of it,3.0,42,2018,3,11,15
136,1,Meh,They were lightweight and natural but did not curl with the lashline. One part would always be sticking straight. Just meh,3.4,52,2019,7,3,19
137,1,KOSIMI Eggplant Purifying Clay Stick Mask,This product didn't work I should had read all the review first lesson learned-my daughters and I weren't happy with the product. :(,2.6,265,2021,3,22,16
138,1,Too Big,Didn't fit my fingers at all,3.7,796,2021,7,4,4
139,1,Nothing like the product description!,I don't understand how it got over a thousand 5 star reviews. This tape doesn't stick to any cloth! It's no difference than any plain double-sided tape except for its outrageous price.,4.1,2620,2021,3,20,3
140,1,Really hard to peel from the backing and way too ...,Really hard to peel from the backing and way too sticky on eyes. I would never put these directly on the skin under a clients eyes. Thewy're owrse than tape.  I will try using them as reinforcements over other eye pads and see how that goes,3.4,22,2016,5,31,14
141,1,"A GLUE STICK, NOT A LIPBALM","This is LITERALLY, not figuratively, a GLUE STICK. DONT BUY IT. It smells like ass and it’s STICKY.<br />Once again... NOT A CHAPSTICK AT ALL.",2.6,4,2021,5,20,11
142,1,"Dead watch, but holds oil scent well","I'd give it 5 stars, but the description states the battery should last 10 months, but died just a few hours after opening it and setting the time. I bought new batteries for it and it was still dead. I'm returning it, regretfully.<br /><br />The colorful sponges do hold the oil drops well. Lasts for hours.",4.2,149,2020,10,11,8
143,1,Disappointed,Color Didn't look like picture. Very disappointed.,4.5,99,2021,5,21,21
144,1,Tangled mess,Can these be returned?! Ugh,3.2,3,2021,2,23,17
145,1,Not good,Fogs up too much for a shower mirror.  I do not recommend,4.0,99,2021,3,3,20
146,1,Defective Product,"[[VIDEOID:2160ad063c9aab7efde5c51b8c90a23d]] I was super excited to finally purchase one of the electronic make up  brush removers. Sadly, my product is defective and doesnt power off. Its just making an annoying humming noise. I ordered the new USB version.  Will be returning this.",3.3,73,2019,1,22,21
147,1,Do not recommend.,"These brush heads fit my Oral B Sonic, however they have very small brush heads and all of them have very hard bristles which hurt my gums compared with the Oral B brush heads.",4.5,1483,2019,11,6,18
148,1,it makes your hair sticky and lackluster. I have ...,it makes your hair sticky and lackluster.I have normal to dry medium thick hair and I had wash to wash it off with another shampoo to get rid of teh stickyness. Totally dissapointing,2.8,22,2017,7,13,16
149,1,Too tight!,I bought seeking better quality than the band from Dollar Store which was way too tight. Sadly I paid $10 for a pack of bands that are so tight I can barely wear and I do not have a “large” head. Very small to average.,4.3,2253,2019,3,13,12
150,1,Very liquidy,Mine came out very liquidy. I don't think this was how it was suppose to be. I returned it and I'm afraid to ask for another one because it'll probably come the same way. Don't know if it works or not.,3.0,55,2016,6,27,0
151,1,Not on SNS!,After a long wait for arrival I was excited to try the product. This product did NOT work on SNS nails. I tried several coats and nothing. Save your money.,3.1,415,2019,7,27,1
152,1,Disappointed,I have been doing twist for years and this is by far the worst Marley hair I've encountered. I picked this hair because my normal hair is no longer sold here and Amazon recommended this one. The reviews even looked promising but I'm so disappointed that I wasted so much money on hair that I won't be able to use. It's not as dense as most Marley hair so you need more than normal and the way it's made makes it hard to stay at your roots unless you use larger part sizes. For it to cost this much and not be a genuine Marley hair is unbelievable.,3.7,7,2022,4,28,23
153,1,One Star,Stinks bad. I threw it away.,4.2,287,2017,7,28,21
154,1,Review for caps,Caps are small even for my medium size head!! Feels uncomforterable.  4 star for material feel. Wish I can get my money back for them caps.,3.9,1815,2021,10,25,21
155,1,not good,some uv gel top coats are rubberie..... this is one f them. does not get HARD dents easy ... kinda crappy.,3.3,15,2019,1,31,14
156,1,Not a good buy,This hair sheds like crazy and it gets tangled easily. Do not waste your money!,1.0,1,2021,8,11,3
157,1,More annoying to wear than not,"Very uncomfortable. After wearing for a walk to the park, I couldn’t stop adjusting and it irritated my face. I felt so much better when I just took it off.",3.7,1096,2020,11,5,23
158,1,Not worth it,Clumps and doesn’t last all day... CVS has better brands,3.0,5,2019,3,31,18
159,1,"You can make up 3 times only,","You can make up 3 times only, I was surprised how small it was and the small amount of product",3.6,140,2017,3,9,14
160,1,It broke,It broke the 3rd time I used it. The smaller end came apart from the base.,3.9,220,2018,8,12,1
161,1,Not as good as other lotions in this product line,Lotion leaves skin sticky and with a bad smell once applied to the skin. Does not absorb into skin. I have used the Playboy lotion line before and never had this problem.,4.0,13,2016,5,25,2
162,1,One Star,its a really small bottle of nail polish,3.8,26,2016,8,24,0
163,1,Bad choice,Not even close,3.4,592,2020,2,6,15
164,1,Unsatisfactory product,The product looks nothing like the photo,2.8,12,2021,2,21,2
165,1,One Star,"A waste of money  , glad it was cheap",2.9,123,2014,7,13,1
166,1,It doesn’t do what it shows in the videos.,Unless I have amazing skin…which I don’t. It did not bring debris to the surface of my skin as it did in the videos. The product isn’t worth it.,2.9,101,2022,1,10,2
167,1,Easy to break.,Was not was I expected.,4.4,10,2021,3,5,5
168,1,NOT ORGANIC!,Not at all like they're described. Immediately sent them back.,4.3,426,2022,2,1,3
169,1,Disappointed,Product was dry and one usage..not worth buying,3.6,38,2020,6,22,4
170,1,Delivered with Cap Unscrewed - Leaked Everywhere,Well I didn't get to use it because the bottle cap was unscrewed and had leaked all over the package.,4.1,21,2016,9,20,17
