rating,review
3,"Gifts for my students and they did the job
These are very inexpensive cases that won't fit a pencil very comfortably without slanting it in the case. They hold a decent amount of pencils if they fit but when the pencils are brand new they barely squeeze in. One of the zippers already shifted and I am not sure how much longer they will hold under repeated use but the rest seem to be holding up.<br />I love the designs on the pouches. They add nice variety between them while maintaining the same floral theme.<br />I would give them more stars if I felt the quality was higher but for the price, I am not about to complain.<br />They would make a great gift for children who are careful with their things but for a child that struggles with this, I don't think they would last terribly long."
5,"Easy nails
The packaging is great and so professional. Love the outcome of the colors. Very easy to use."
2,"Don’t Believe the Videos
I’ve got blackheads on my nose and this stuff did not work like the videos. It’s messy and very drying to the skin."
2,"Size of the mask
Not easy to fit in with my mask. Hard to feel adjusted right. I guess I got what I paid for. Also, the thickness could better. Thicker. Great idea but my glasses still fog up."
3,"Three Stars
The book it came in is trashed. Every holder for the plates are ripped and damaged."
5,"Best Body Cream
I love this body cream. It’s very moisturizing. I put plant therapy essential oils in it so it smells wonderful and I get the benefits of the oils. I don’t use any other body cream except this one."
3,"These Are O.K.
These are o.k. but there are some small gaps inbetween the tines."
5,"I love this thing and am back for more
I use this for so much..... To mist my naturally curly hair....ironing.....plants..  No end for uses.. In getting another for Windex and GP66..... will save on excess use of products."
3,"Need patience
Works but takes a while."
3,"Three Stars
Got twisted too easily"
4,"Four Stars
its what I wanted...just doesn't work with my hair"
4,"Gorgeous!
Bright, goes on well, soft tip."
1,"OMG!!! Don’t Buy This Hair
I’m pissed!!!! There were only 11 strands in one pack where there would be 24 strands if I purchased it from a hair store. I had to go buy more hair from the beauty supply store. The hair smelled like dog poop, literally smelled like a wet dog. Even though picture above is beautiful I had to add hair to get this look."
2,"Thin at bottom
As a platinum extensions stylist these are ok. Phenomenally thin at the bottom. Sheds pretty fast too. Good price for what you pay for. 2 bundles would make the bottom not so stringy instead of 1 bundle. Holds heat well, if bought a lighter color, dyed well."
3,"Do not like the powder very messy
the tube is better than the powder"
1,"NOT the same quality as Italian Olive Oil face and body cream and has overpowering fragrance
I wanted to continue using my Italian Olive Oil body cream however the brand I had been using had doubled in price.  I bought this brand instead....firstly, noticing it had more extra ingredients in it than Olive Oil and secondly the floral fragrance was overpowering.  I returned the item for a refund."
3,"Not very large cap
Not for people with thick hair or larger heads. Fit more like a ponytail once I stuffed my<br />Locs inside"
5,"Self hygiene helps
Flavor is not so bad,  could enjoy while cleaning. Size is perfect."
3,"Trying something new
Gloves very thin. Unnecessary to me. Even with small strains. Hair didn’t stay straight long enough like my old straightners."
4,"Hard to have advent calendars mailed
Love the choice of products, package was open and thus revealed the daily products."
4,"I looked for awhile for the perfect red lipstick and i found this one read the ...
I looked for awhile for the perfect red lipstick and i found this one read the reviews and so i bought it very good product love the color and the feel of the lipstick."
5,"Smell amazing!
Smells amazing! Good product, fast shipping!"
1,"Don’t waste your money
Literally all but two clips fell apart on me the second I took them out of the bag and went to use them in my hair. And then some were damaged from the start. This was a terrible buyI returned it today. Even though I know it’s not much money I refuse to pay for that crap."
1,"Doesn’t make styling your nails any easier!
It’s extremely hard to get a hang of it and once you do by that time you have a mess created and the nails won’t even stay anymore than 2 days."
2,"Two Stars
It came damaged. Nose squished in and dented."
1,"Not as described.
Would have thought this was more like a liquid but it was gel like. Had to reapply 3 times . I read the description on the Amazon site and applied as described. Still had to use my drill to remove. Wondered why there were no directions included. Disappointing!"
2,"Junk.
They were differing in lengths and I could only get a few in without my nose bleeding like crazy. The ones that actually fit stuck up off my nose and had to be pushed down and it didn’t take long for the stones to fall off. I guess you get what you pay for."
5,"Really cute.
My all time favorite hair tie, but this was a replacement for the exact same one that was several years old and it's shorter in length. It would be nice to offer these with a little longer length."
2,"Be careful
First let me say that I purchased a 16, 18 and 20 inch bundles about a month ago. They were beautiful when I unboxed them very little smell. I washed them and while the 16 and 18 inch came out beautifully and with little shedding, the 20 got very tangled and matted. One picture is part of the 20 in bundle of how it looked after washing and the other is the shedding from trying to detangle it. Very disappointing."
4,"It’s gotgeous!
I actually really like this hair it’s soft and super cute when it’s wet too! It had a strong smell for some reason though, I still love it 💕"
5,"Beautiful
These lashes are so beautiful I love them I need more !"
4,"Love them
I love the colors and the designs on the nails. I'm going to order more in just a few minutes 😊"
5,"Great eye  pencil
Love the shape of the pencil"
4,"Bonita
Muy buena y bonita a mi amiga le gustó bastante."
1,"Break outs- beware
This product burned my skin and made me break out with pimples all over my face."
1,"A Clear Discription Is Needed
They should let you know the color your getting.  What is 280?  It should read black and grey.  That's what you get not brown or black."
5,"Picture matches color in the bottle
The color is vibrant and wears well for 2 weeks."
4,"Nice-looking tray, bright chrome. Tray is for aesthetic ...
Nice-looking tray, bright chrome. Tray is for aesthetic room and tray pan is larger than patient-room medical Mayo stands. The tray's center post is a little wobbly. We just received item so we will let aesthetician use for a few months, give her evaluation, then re-comment."
1,"One Star
Arrive broken :("
1,"Doesn't work for me
This product it terrible it dose not seem to be working I thought it would work because I go to the tigi hair Solon for my hair and they use this on me"
1,"do not buy. a waste of money
what ever you do, please don't buy!!! This hair was silky and soft once it arrived. That only lasted about a day. This hair sheds terribly and tangles. After week two I have to remove this hair. I never take the time to leave a review but I thought it would be helpful to this time. Dont waste your money like I did. Save your coins and spend more on better quality. you will Thank me later.  I would have returned it if it was not installed. Amazon you need to investigate products before you put them on your website"
4,"Good oil
It's a good oil. I just wish the scent were stronger and lasted longer."
3,"Cheaply made
I wanted to love this based on reviews but I am super picky about my hair gadgets. I bought this to replace a Chi which was snagging my hair. This iron gets hot but it’s super cheap feeling. It’s really light and I would have to hold it down hard to straighten my hair. It took me twice as long and my hand would hurt so bad after. I returned this iron and bought a larger, more durable straightener"
2,"Inferior
I have used this product before but these broke really easy. Not sure what caused this."
3,"Fun but take a little work
The colors are fun and vibrant but take a little practice to get used to. You have to use them from the side not the brush tip. They are pretty smudge proof"
5,"Five Stars
Inloveeeeeee soft & beautiful"
1,"Disappointed
The brush broke within a very short amount of time of me having it. I’m pretty disappointed."
3,"and the lid does not sit great so when you walk in the room it rattles
My jar came with the plastic ring damaged, and the lid does not sit great so when you walk in the room it rattles. I did not return it because I needed it asap"
2,"The hair was nice, but misleading on the lace.
The hair was soft and manageable, however the lace was not HD it was Swiss lace."
1,"Hair loss
My hair falls out in globs from using the conditioner.  Very scary and sad."
1,"Waste of money
The scent if you describe it as that is non-existent. What was I thinking spending $18 for a deodorant"
3,"Nice product.. But I wouldn't call it magnetic eyelashes
It was made with love, It was nicely packed, and the quality is good. There is only one problem: This is not magnetic eyelashes since you need glue to put them on. The only magnetic parts are the baby lashes. The baby lashes are very small pieces, groups of 3 singles lashes, that you can add on the main lashes after you applied them with glue. But the whole point with magnetic eyelashes is to not use anything! just your natural lashes as a sandwich.<br />I have returned them, sorry!"
1,"One Star
Keep falling off one dryer,  and didn't fit another."
2,"I returned it!
I returned it! The quality was okay, but color was not what I call brunette.  Was. Mite in the reddish side.  Did not match my hair color at all."
4,"2 were damaged, good colors though
2 of the colors came damaged, but salvageable. Very pretty colors. Was a lot bigger than I imagined it would be."
4,"Good but too big
This is a really nice case for your beradscap products. My main issue with this case is that there is a lot of empty space that's has no purpose but to make the case bigger for no reason. The case is very big and could be a lot more compacts if there wasn't so much extra space. Other than that issue everything fits nice and snug in its own slot and makes it a lot easier to store and carry around."
1,"Don’t waste time
I have so much to say ! I’m very upset !! All the times I ordered hair online I got this tangled hair that feels like yaky hair. My stylist even said so ! It was embarrassing! I just paid to get hair done and I’m going to be taking this out tomorrow!! Another day ruin with this terrible hair . It’s  way brighter than 99j btw . It doesn’t look like the picture . I’ll upload after I brush the knots out"
2,"Dry
The hair is dry even after proper maintenance. Overall it is ok for the price."
3,"Healthy deodorant
i have decided to change my first five star review. After a few months, the nice smell diapered,and now a dull fragrance.<br />I had to quit using it do to unpleasant oder it has."
3,"a little more oily than I like. This is a true primer but no photo ...
Clear primer, a little more oily than I like. This is a true primer but no photo finish coverage"
3,"Ehh, it's okay
Alright, so I bought this for my sister since she's in cosmetology... First, I made the mistake of only really paying attention to the picture, only one comes in the mail. But the scissors don't really look the way I expected, they're pretty small on the pin itself. Also, I kind of thought this was a barrette type hair clip, it's more like a Bobby pin - but as you can tell from my pictures, it doesn't even have the bumps a normal Bobby-pin would have! I had to add another Bobby pin with this to even make it stay in my sisters hair when I first put it on her (it was a surprise gift in an up do I was trying out on her) so I was kind of disappointed. She acts like she loves it, but she hasn't worn it yet... And she was looking at it weird when she was first examining it. Probably because the scissors look a little weird being so short on the pin and because it's not even a pin that will stay in by itself. It's decent... But I'm glad I only spent about $2 on it."
1,"who is giving this tool such great reviews?
It must be people with hoofs or their shepards. So if you are sheeple, this tool will work for your hoof trimming. It's aggressive sander that will in second burn your flesh. I am thinking what kind of shelf or something I can use this on, certainly not on feet! If you think I was stupid and held this sander at one spot--no, not so. I always read instructions, I am careful. The truth is I bought this, because I was lazy. I will continue using pedi-egg that works really well and is not messy."
3,"Broken
UV light was broken and glitter popped open."
4,"Four Stars
ok"
2,"Bad product
Did not work at all!!! Do not buy better off with biotin the only thing is my hair had less breakage"
5,"Love these
Love these"
4,"It is a very pretty color and i will purchase it again
It is really more of a raspberry color than purple, which is why i gave it 4 stars. It is a very pretty color and i will purchase it again."
1,"Terrible product. I followed all instructions to a T
Terrible product. I followed all instructions to a T. The charging port was broken upon delivery. It wouldn't charge for more than 30 minutes at a time and consequently didn't work for longer than 1 minute. I'll never buy from here again."
5,"Take me away!
This is the 2nd time I've ordered these. Takes me back to the 70s and 80s, good memories. Spray on my pillow at night, comforting love this 💘 scent."
1,"Frizz!!!
Don't buy this wig, you'll look like Bozo the clown."
4,"Four Stars
Good product !"
1,"Review updated! Read the bad reviews.
Read the bad reviews. I wish I’ve had read it. It won’t last longer. Buy from a reputable company like Revlon and Conair. This air dryer  is expensive and it won’t last 2 months. Chinese garbage for sure."
1,"One Star
Very unhappy with this product ☹️.<br />The price is outrageous for the an uncomfortable and flimsy fit."
5,"Quality product
Steel as it supposed to be."
2,"Color Does Not Match Photo
The color is completely different than the photo. Formula is okay- couple of coats gets full coverage. Stays on pretty long."
1,"Very Disappointed
Ends are incredibly thin and tracks sewn in 13x6 area make the 13x6 pointless. Unable to side part."
3,"Suction power is weak.
Suction power is weak doesn't really remove anything"
5,"Works like a charm!
Glad to have a supply to file my nails whenever."
2,"what can i say? ew
didnt really like these, just went with a regular comb for my beard, couldn't get over how much it smelled and the rough texture, the teeth could be rounded a bit, they were just jagged edges that irritated my skin."
3,"Three Stars
Good gift."
3,"product is amazing when in with no problems and styled. most a disaster.
I ordered the first set of LaaVoo hair extensions in April and a friend put them in for me, and loved them. But had a terrible time picking the color , to get it to match my hair. I loved the two tone colors, but unfortunately they wouldn't match at all, and finally picked a solid color, which works well. Also I noticed some matting/tangling after about a month of application and at that time didn't pay that much attention to it as the hair would comb right over the top, soon it was a awful tangled, matted mess in a huge knot across the back of my head! I worked for days trying to untangle the mess, and finally had to cut on it and after working for hours got it pulled out, leaving a patch of short hair. I was relieved it wasn't bald though! Now I check daily for any matting, and if even a small amount , redo them. I rated the newest hair a 3 because I've had 1-2 out of every 10 strands impossible to insert the plastic ring into to re-apply. I do love the hair, and want to try a curled one next time!"
3,"Soy with a touch of hemp
I bought this because I wanted to use hemp oil soap. Hemp oil is like the fourth ingredient. You fail to mention that the main ingredient is soybean oil in the product description its all hemp hemp hemp. I thought I was buying pure hemp soap not soybean oil with a touch of hemp..."
4,"So far, so good
It arrived yesterday. It turns on and spins around whichevr little widget you have inserted. I tried it on smoothing down the rough skin on my bunions and the back edge of my heels. Reason I got it was to be able to remove my own powdered acrylic nail treatment, because the salon I go to charges extra for that. If I go in with already bare nails, I can save six bucks. Not time yet to try that, so will have to wait and see.<br /><br />As far as all the stuff that comes with the drill, there are three separate containers under the blister insert with the extra bits, and they are all hard to open -- I take that back: the two little plastic boxes are hard to open (I thought I would have to take pliers or a hammer to one of them), and the pink thing containing the &#34;surprise&#34; gift is a cute container with so much stuff in it that it cannot possibly close properly - so I took everything out of it and carry it in my purse when I figure out what I want to put in it.<br /><br />I kept going back and forth between 3 stars and 4 while writing this review but settled on 4 just because the drill is pink and does not look like a piece of hardware."
2,"Very thin
The hair quality is very nice but it was just too thin. You could see right through the hair. The wefts were so wide apart and I think that's why the wig was so thin. Almost see through. I  could literally touch my scalp when I tried it on. Maybe I got a bad one, but I returned it immediately. That's how bad it was."
1,"Meh
Does not glow as nicely as show in picture and glow does not last long even when charged in direct light."
3,"Good but just use coconut oil
Glad I tried it, but think I'll just use coconut oil"
5,"Moisturizing
To anyone that really knows about shea butter it does  he  smell to it!! So to the people on this sight remember it is real shea butter!! Not a lotion"
1,"Don't Waste your time and money
Horrible. The cars fall off a few days in"
4,"Works well
Works as well as the more expensive version."
1,"Ridiculous
Terrible variety, 3 pinks and wrong season of colors when I ordered. 2 brushes are cockeyed and cannot be used to paint your nails. To top if off they do not allow returns. DO NOT BUY!!"
4,"Gorgeous lashes
I think this is some awesome mascara! It is a little clumpy so make sure you have a lash brush. Only reason I give it a 4 out of 5 is that it clumps and gets my lashes stuck together sometimes. I added a bit of water to my brush when I apply it and it works pretty well."
3,"Three Stars
The bundles are thin..you would need 4 bundles to cover a small head..not enough hair for me"
4,"my favorite concealer
This concealer works effectively to hide imperfections and make my face look very natural. It is moist enough to stay on my skin for the whole day and does not feel dry at all."
3,"Heavy Lotion?
Used during a shower.  Did not lather, more like smeared around.  Similar in consistency to thick skin lotion.  Didn't get a razor cut, but not sure it provided a better shaving experience."
2,"hard to put on the hairdryer
I disliked the fact that I had to spend too much time trying to put it on my hair dryer."
2,"Floppy
Wish it had a closure,  a bit floppy and hard to hold brushes in when on the go."
3,"I gave it another try it works but it takes ...
I gave it another try it works but it takes a long time before the polish comes off. My nail was a little  stickey after use but it does moisturize the nail"
5,"Great base coat!
Great base coat.  This does a great job of helping the color coat stay on my nails but it also protects my nails and keeps them from yellowing.  I highly recommend."
4,"ADJUSTABLE CLIPS ARE AMAZING
I got these for the unusual banana clips included. I use banana clips often and wanted a multi-pack in case I didn't like the adjustable kind but they turned out to be fantastic. Are to use and don't require really thick hair. I sometimes have trouble with the regular because they don't like to stay in if your hair if it is thin. I highly recommend the adjustable kind."
4,"Four Stars
Great quality scissors! Can't wait to try them out!"
1,"One Star
Not happy at all"
1,"... and too tight up in between fingers to be comfortable or good for eczema on fingers
Skinny fingers and too tight up in between fingers to be comfortable or good for eczema on fingers."
3,"In general these work pretty well. The problem is the forms are not ...
I bought these to cut cost on my regular trips to the salon. In general these work pretty well. The problem is the forms are not large enough for my thumb. I have about a 1/4&#34; gap on either side. As of yet I haven't found another ASP product with a larger size. If your looking to do your own nails at home, this is a great product to start with!"
5,"I love this
This drill is lightweight and easy to use, it’s made durable and not cheaply. High and low speeds are awesome, and charges quickly. It doesn’t overheat which is awesome."
2,"Not For Me
The shampoo makes my hair feel like fawter. It is just terrible for my hair. The conditioner is better. And I broke the pump of the Thermal Shield in first use."
1,"Never got the sample
Never got the sample.  Would have been nice."
3,"Beautiful hair. Weird hairline. You can tell it's a wig. Good with a hat.
The part is bad."
2,"Dry
Dry. Not enough serum in the package."
3,"Its ok, but nor for busy bathroom.
Not made for busy bathroom. Perhaps vanity, but not bathroom with any water (toothbrush) or moisture. Not sealed. Any little bit of water causes mold to grow. Had to throw both out."
5,"Great deodorant!
This deodorant smells great, glides on easily and works great too!"
2,"Dried out and not waterproof
Good concept but it started drying up during first use. It's also not truly waterproof - I went for a run and after I was done, it was totally gone. I really wanted to like this product because I wanted a more natural looking eyebrow, but this just didn't deliver."
2,"The Breeze plugs up and no longer works
I have used both systems and the first one was lost in my moving so I purchased the Breeze.  The results were phenomenal however when I got the new Breeze it didn’t work as well.  The more expensive one was very effective in improving the quality of the results"
2,"Good, but to small to put your brush in
Good,  but to small to put your brush in, the sections are small."
4,"obsolete
obsolete"
5,"National Beauty
This powder goes on evenly & feels as if there is nothing on my face."
4,"Using for watercolor tubes
Saw this item posted on a watercolor group site being used to store watercolor paint tubes. Bought for that purpose."
5,"Great Product
I like the skin nations I've tried so far.  This one leaves my face very soft.  I use it every morning and it works well with the moisturizer and my makeup goes on very smoothly.  Great product."
5,"worked good
Couldn't get these in town any longer so got them here! That was a great plan and the perm worked great for grandma. Who can ask for anything more!"
4,"The size is pretty small
I use for my baby."
5,"Best nail brand
I love the Kiss brand nails they are the only ones that fit right and stay on! This design was only found online so I had to nab it up!"
4,"I LOVE these!
I LOVE these!! They're so colorful and I get tons of compliments when I wear them. There were a few very small strands of the glue used to put them together here and there, but nothing that a pair of scissors couldn't remedy."
1,"Not a good product!! Not worth the money....
Not good!! Lashed do not stay on"
5,"Five Stars
As a former dental assistant,  I tend to have a OCD about oral health.  Works great"
5,"Love this product
Great for sensitive skin and the scent is very nice!<br />This product does contain baking soda"
4,"The shipping was fast and the p a
I love the colors I hate that its chalky and messy!!"
3,"Stencils need to be smaller
All good"
5,"haven't used any other makeup removers since
omg i got a sweet email from the customer service manager, asking if i liked the product. maybe it's automated i'm not sure, and probably because i've reordered these i think 3 times already, but honestly either way it was a very nice email<br />as for the actual makeup wipes, i haven't used any other means of removing my makeup since i started buying these. i have dry, sensitive skin that's prone to breakouts and these haven't made me breakout once, nor dry me out and they remove everything on my face with one wipe, which is saying a lot because as an aspiring makeup artist i do wear a lot, not to mention makeup wipes are too expensive at the drugstore and it's nice to buy these in bulk for such a reasonable price and have around to keep under the sink whenever i need them"
3,"Mixed Review
I have mixed opinions about this product. It is easy to use, and seems to be a decent quality. The multiple speed/power settings are nice. Product seems to stay clean when we’ll rinsed after use and battery lasts 1-2 weeks depending on usage. The negatives about the product are more geared towards the category. I was a little leery about it being able to replace a traditional toothbrush. After a couple few weeks of use I do not feel this item (and likely others the same style) are sufficient as a replacement for a standard toothbrush. It does however seem to do a decent job supplementing regular brushing if you only do that 1-2 times a day. Does a good job but doesn’t seem to be enough on its own. I will continue to use but will also continue to use a standard toothbrush as well for better gum health and plaque control.<br /><br />Disclaimer: I have only used with standard toothpaste at this point. I have ordered toothpaste designed specifically for this type of product but have not yet received it. If it does change things, I will update my review."
1,"DOESN'T SMELL THE SAME!!
This warm vanilla sugar is not the same as the past 3 years I have used it, the new stuff is very white ,kinda runny, very little scent."
4,"Great foundation
Love this foundation!  I've been using it for a couple of years.  It feels good on my skin and provides good but light coverage.  Highly recommend it!"
1,"Doesn’t work
When I first put it on it I thought it worked but after the 3 days I washed it and it was liked nothing changed with my hair"
2,"Geri sleeves
Was so excited to get these protective sleeves for my husband with sensitive skin, prone to skin tears. The color is great....very ski like....The problem is they slide down & bunch up onto the forearm.....they need some kind of elastic to hold the up...."
2,"Frizzy
This hair is very, VERY frizzy.  The frizz is so unattractive.  The twists kind of hide the extra hair when it’s all together but when  you go to run your fingers through the hair it is impossible to miss.  I do not recommend."
1,"Bad
Bad"
2,"Didn't  work for me
Did nothing"
1,"Don't Buy
This is the cheapest quality pair of clippers I've ever seen. The only thing good about this purchase was the nail files."
1,"Nope
You get what you pay for.<br /><br />I used it with a oil/water base make up remover and it actually didn’t absorb anything lol it was horrible"
4,"Overall love em
All super cute but can hurt your head after a bit cause a little tight"
5,"Great stay and protection
I’m super into sun protection and these are great for outdoor events. Yes, sunscreen is good but sometimes I really want to be sure so I use these patches. I like to do chemical peels and sun is a no-no after. I have the cheek ones and wanted to try and nose ones and they are good. Stayed on all afternoon at the pool and did not irritate my skin. (I didn’t get my face wet). If you wipe and clean off a bit you can reuse and store them on the plastic sheet."
1,"WHO LIKES TO BE ORANGE? NOT ME!
I've been tanning & spray tanning for 8 years. I know what I'm doing so I didnt do anything wrong and I didn't put on to much. This lotion will leave you ORANGE! I showered 3 hours after my bed tan & spray because I had a party to attend to. I can't imagine if I left it on for longer. I purchased the packet in the salon because I wanted to see if I liked it before I purchased the bottle. Glad I didn't waste more money."
2,"Wish they were better. Annoying.
I really hoped my kids would like these videos. Unfortunately, the beginning of the videos is so annoying. The second part of the video is better but they can never get past the first part.<br />The love Veggietales and I had hoped these would be a good next step but they just aren't."
5,"Essential Product For Every DIY Took Kit and Supply
DIY project essential. I make our own healthy and safe cleaning and beauty products. This product offers the best in quality and volume at the best price. Available through Prime and it is an unbeatable deal. This is a multi purpose base ingredient for many recipes."
1,"Dried out my hair after first use.
My hair was super dry at the first use .<br />No silky smooth hair as mentioned in the product description.<br />I shook the bottle and tried a second time but the same dry brittle feel afterwards and that is not normal for my hair."
3,"Decent
Not the best lashes, but they work well if you’re doubling them what another set of lashes"
1,"Don’t buy these!
Don’t buy these!  They are very cheaply  made, and not worth a penny!"
3,"Good stuff.
Quality."
5,"Five Stars
Great product, just what I was wanting to keep homemade organic cleaning supplies in."
2,"Looks fake
This wig as TOO much hair, which makes it look cheesy!  A wig should fool somebody!  Plus, I was sent the wrong color wig!"
2,"Disapointed
I was very disapointed with this product. it was very thick and hard to spread on my skin. Please don't waiste your money on this and find a better product."
3,"Ok buy!
Hair is great for my daughter to practice one, but had issues getting it to clip and stay into the table. Definitely purchase the stand if you buy!"
3,"Very Nice.
Great quality but much smaller than I expected it to be,add was a bit misleading.Some changes should be made to fix that issue."
3,"I so wanted to like this product
I so wanted to like this product!  It is light weight and has a great design however it did not come with the two diffusers listed and is way too powerful for my fine hair; it tangles it so easily.  I think it's because the air cylinder is so small and the air comes out with a lot of force.  Kept it as my cousin needed one as well and her hair is a lot thicker than mine but will continue to look for a better product for my hair."
3,"Nice iron.
Just doesn't get hot enough for my hair.  But I use it everyday just the same.  I love that the tines don't get hot."
3,"Smaller than pictured, not jumbo, but good quality
These are so small! They are advertised as jumbo so I have to return them. The quality and softness is very good, they look very natural, they just are wrongly advertised."
